Model,Feature,n,Test,Statistic,p_value
PCA_40,ER Status,753,Chi-square,470.87974618573895,1.328871579643742e-100
PCA_40,PR Status,750,Chi-square,338.19163048443727,6.213183159576599e-72
PCA_40,HER2 Status,738,Chi-square,87.46260346694966,4.553533201675991e-18
PCA_40,AJCC Stage,740,Chi-square,29.83627874338591,0.0029552938103646234
PCA_40,Age,790,Kruskal-Wallis,38.58045136150741,8.504490683837461e-08
VAE_Z10,ER Status,753,Chi-square,431.1704983047519,5.106752244342969e-92
VAE_Z10,PR Status,750,Chi-square,336.0006180305806,1.846206753646953e-71
VAE_Z10,HER2 Status,738,Chi-square,109.05186028442854,1.1592717718222903e-22
VAE_Z10,AJCC Stage,740,Chi-square,36.445256170487426,0.0002746804987336678
VAE_Z10,Age,790,Kruskal-Wallis,20.50724605028097,0.00039646099235862405
VAE_Z20,ER Status,753,Chi-square,416.1133389441098,9.170659155564072e-89
VAE_Z20,PR Status,750,Chi-square,291.3378964679425,8.000511890325573e-62
VAE_Z20,HER2 Status,738,Chi-square,83.44471196574531,3.2423972252760045e-17
VAE_Z20,AJCC Stage,740,Chi-square [CAVEAT: 25% of expected cells <5],22.650258522091786,0.030846209087978173
VAE_Z20,Age,790,Kruskal-Wallis,23.881335600032823,8.437048638868014e-05
VAE_Z40,ER Status,753,Chi-square,387.88653661719025,1.1519059305152759e-82
VAE_Z40,PR Status,750,Chi-square,294.00676033449207,2.125762817401761e-62
VAE_Z40,HER2 Status,738,Chi-square,123.99613622109611,7.480116511782249e-26
VAE_Z40,AJCC Stage,740,Chi-square [CAVEAT: 25% of expected cells <5],39.0028300417187,0.00010512092558323589
VAE_Z40,Age,790,Kruskal-Wallis,29.402484294809998,6.475386114903325e-06
