"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MITOTIC_SPINDLE",6.41918644436612e-22,3.08120949329574e-20,1.21254456769062,-0.913440152215482,-4.01331689173675,27,"9133/332/10403/6790/22974/5347/11004/7272/983/54443/699/80119/9787/24137/56992/7153/1062/1063/51203/9493/9700/3832/4751/4001"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2.69677787778606e-15,6.47226690668655e-14,1.00731795687447,0.612296787125223,2.05714005508587,121,"3908/9353/1842/6387/1634/2200/6444/6586/1293/4313/1462/11167/8038/1281/2669/1307/25878/1009/10631/1278/1277/1296/1290/4060/1289/6424/2006/4148/25890/2191/5396/7058/131578/1292/2331/1490/2199/6695/2192/7070/6591/7078/7474/50863/2619/1303/1004/50509/4015/633/4638/3491/10516/59/3690/3673/6876/3624/7049/8572/4837/2697/1311/7057/10085/5999/26585/115908/5054/10398/8076/4982/3371/2335/10486/6445/284217/4314/4147/374/7857/2247"
"HALLMARK_MYC_TARGETS_V1",7.34105375706819e-08,1.17456860113091e-06,0.704975715167238,-0.968554913294798,-2.45805793095928,6,"991/8318/890/4085/7298/4171"
"HALLMARK_MTORC1_SIGNALING",1.85321153682815e-05,0.000214953315278322,0.575610261071129,-0.548674062523485,-2.35056177931926,24,"993/8140/6790/5347/699/6241/29968/4171/899/9415"
"HALLMARK_UV_RESPONSE_DN",2.23909703414919e-05,0.000214953315278322,0.575610261071129,0.591200700897406,1.80527036297497,40,"1281/1278/857/1277/1290/1902/4325/6591/1843/273/3491/10516/3690/7049/2202/2697/3037/2152/5999/5468/5054/7035/50937/3815/10486"
"HALLMARK_ADIPOGENESIS",3.11478814504399e-05,0.000221963567442539,0.557332238758646,0.642871308772886,1.86954892465226,28,"8404/4958/8436/5733/80760/10580/1306/4638/92840/3679/2167/9370/1149/5468/718/4023/1580/948/2878"
"HALLMARK_MYOGENESIS",3.23696869187036e-05,0.000221963567442539,0.557332238758646,0.496178793457353,1.63495385108988,94,"3908/3479/6444/1293/8038/1281/1277/4629/2273/10580/10468/1292/1306/4634/165/5348/4638/5507/1346/8614/845/187/3679/6876/7140/1012/1160/5740/2702/1675/948/7433/2878/6445/8736/11155/25803/2065/2247/347/6442/624/3316/26287/844/65055/3270"
"HALLMARK_APICAL_JUNCTION",0.000198982209381784,0.00119389325629071,0.518848077743792,0.484284862221149,1.57763354855485,79,"9353/83700/2200/4313/1462/1307/1009/5010/2318/257194/1272/7070/7122/8745/11096/1004/91624/1308/9379/54413/3673/57863/65266/8515/7216/10398/347902/4982"
"HALLMARK_SPERMATOGENESIS",0.000521543146750812,0.00278156344933766,0.477270815362862,-0.379678090180762,-1.94533342124673,36,"9133/6790/1033/23397/11004/7272/983/699/4751"
"HALLMARK_ANGIOGENESIS",0.00104987322826365,0.0050393914956655,0.45505986738723,0.663156096612797,1.76809507473986,17,"1462/11167/1281/10631/1290/4060/7056"
"HALLMARK_COAGULATION",0.00254966441323159,0.0111258083486469,0.431707695803346,0.473169852555594,1.5241744221604,66,"2200/4313/2151/10411/1513/2159/3075/7056/7078/710/3426/716/1803/3690/629/3673/715/2152/1311/7057/11098/5054/718/1675/3158/10747/2335/4320/7044/4314/164656/3249/283/4319/4973"
"HALLMARK_MYC_TARGETS_V2",0.00557470165497134,0.0222988066198854,0.407017918923954,-0.970893970893971,-1.56262382941092,2,"5347/10733"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00674996075795569,0.0249229320293749,0.407017918923954,0.425338426755301,1.39465238119999,86,"6387/5241/1960/18/771/56944/4137/8839/2353/367/79875/9314/9687/8614/8416/6337/79083/55638/6542/2674/4602/7031/2697/60598/9620/4582/11098/22996/7869/6505/54898/57419/55686/7033/64699/64284"
"HALLMARK_HYPOXIA",0.0140727062525443,0.0482492785801518,0.380730400722792,0.447540852091051,1.4192774304704,56,"9590/1634/857/1289/771/1490/8406/8839/1843/2353/4015/633/3491/5507/8614/2152"
"HALLMARK_APOPTOSIS",0.0184690152258236,0.0591008487226356,0.352487857583619,0.464266727422129,1.42666448219124,41,"3082/1634/4313/857/1960/4060/9638/3489/7078/633/2012/7049/552/969/9890/4744/2878/2065/8743"
"HALLMARK_GLYCOLYSIS",0.0267987915453181,0.0756671761279571,0.352487857583619,-0.257685791349605,-1.40845204394593,47,"1058/6790/983/10112/55635/3161/55586/9080"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0261306532663317,0.0756671761279571,0.282013350011725,0.437007467509231,1.38469193976504,55,"2669/1960/1958/7130/1843/2353/3491/9314/1959/9945/2354/3624/2152/9242/1846/5054/2150/969/3371/3976/3575/374/3914/3164/8013/4973"
