"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000196569","LAMA2","3908",0.658247747195657,21.5030832333916,2.39052168093381e-78
"ENSG00000152583","SPARCL1","8404",0.427179163151249,21.3227394068414,1.4604949312316e-77
"ENSG00000174348","PODN","127435",0.590437349414347,21.1268325692282,1.46622756415963e-76
"ENSG00000187955","COL14A1","7373",0.695086455475375,20.781177137065,1.29198877549392e-74
"ENSG00000144642","RBMS3","27303",0.58330086834015,20.5764265873657,1.71965339840432e-73
"ENSG00000131016","AKAP12","9590",0.654314218671326,20.4128870739974,1.34509451059617e-72
"ENSG00000007237","GAS7","8522",0.669592582250862,20.0810739840978,1.0639865878782e-70
"ENSG00000149575","SCN2B","6327",0.812180262586987,19.7421933556804,9.21205370170557e-69
"ENSG00000145147","SLIT2","9353",0.522049189577803,19.6812400014643,1.86562006773215e-68
"ENSG00000106823","ECM2","1842",0.613358033761782,19.6559242826185,2.36307477139543e-68
"ENSG00000119865","CNRIP1","25927",0.490419130319837,19.2939777301764,2.79398455332091e-66
"ENSG00000137727","ARHGAP20","57569",0.579108383097756,19.2168157655837,7.19819634381517e-66
"ENSG00000079102","RUNX1T1","862",0.537187271770993,19.1215571159905,2.37437739564062e-65
"ENSG00000107562","CXCL12","6387",0.551820932490015,19.1056658920961,2.72601818990111e-65
"ENSG00000149451","ADAM33","80332",0.520255578570903,19.0813862965198,3.51820691903717e-65
"ENSG00000136546","SCN7A","6332",0.750585566955065,19.0575324542024,4.53432202144987e-65
"ENSG00000119681","LTBP2","4053",0.534500113603186,19.0168927151394,7.33689486084056e-65
"ENSG00000185070","FLRT2","23768",0.576565785689925,18.937688974155,1.98956799538904e-64
"ENSG00000170962","PDGFD","80310",0.556530978298956,18.8179316938869,9.25645840773829e-64
"ENSG00000154262","ABCA6","23460",0.550850139298236,18.6929751454973,4.60748299689775e-63
"ENSG00000173068","BNC2","54796",0.577836244278195,18.6865877345531,4.77518872392414e-63
"ENSG00000143341","HMCN1","83872",0.538710602381133,18.664324169451,6.11959351977007e-63
"ENSG00000166086","JAM3","83700",0.561625480029798,18.6571764496407,6.43395346038485e-63
"ENSG00000182916","TCEAL7","56849",0.404488240195534,18.644862887935,7.2563032582879e-63
"ENSG00000165124","SVEP1","79987",0.574628486963793,18.6048681818028,1.18183768652847e-62
"ENSG00000019991","HGF","3082",0.634950353514319,18.5830986889183,1.514946211646e-62
"ENSG00000196159","FAT4","79633",0.595457173749091,18.5497738125848,2.26488486544304e-62
"ENSG00000127083","OMD","4958",0.653931751117589,18.5000629195313,4.20690600873751e-62
"ENSG00000125869","LAMP5","24141",0.572681108711107,18.4674929123368,6.23864472704671e-62
"ENSG00000172986","GXYLT2","727936",0.642766274249991,18.4571028184433,6.9149801841106e-62
"ENSG00000183160","TMEM119","338773",0.552409806755601,18.448718154164,7.47299422280907e-62
