"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","3/68","11/1876",0.272727272727273,7.52406417112299,4.20756688069787,0.00610141897572187,0.485133317697201,0.482956056785463,"57758/50937/4036",3
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","5/68","35/1876",0.142857142857143,3.94117647058824,3.40552513648027,0.00752144678600311,0.485133317697201,0.482956056785463,"6279/6280/4312/6278/27190",5
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","7/68","82/1876",0.0853658536585366,2.35509325681492,2.43288045995529,0.0263207256296303,0.85188424775794,0.84806102183981,"1828/6279/1830/6280/3861/3909/6278",7
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","4/68","32/1876",0.125,3.44852941176471,2.70866773930649,0.0264150154343547,0.85188424775794,0.84806102183981,"440503/4312/9415/729359",4
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/68","36/1876",0.111111111111111,3.06535947712418,2.42601716865267,0.0388384027236199,0.856470480227346,0.852626671462556,"2099/5241/107/3861",4
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","3/68","22/1876",0.136363636363636,3.7620320855615,2.52662665885767,0.0428432232178103,0.856470480227346,0.852626671462556,"107/4886/63924",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","2/68","10/1876",0.2,5.51764705882353,2.77723326357914,0.0482823523469777,0.856470480227346,0.852626671462556,"54898/9415",2
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/68","14/1876",0.142857142857143,3.94117647058824,2.14166303967613,0.0890044053156021,0.856470480227346,0.852626671462556,"8942/8564",2
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","3/68","31/1876",0.0967741935483871,2.66982922201138,1.81765141100815,0.099460380295253,0.856470480227346,0.852626671462556,"658/7044/3547",3
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","2/68","15/1876",0.133333333333333,3.67843137254902,2.01933719838072,0.100364702480198,0.856470480227346,0.852626671462556,"8787/2891",2
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","3/68","32/1876",0.09375,2.58639705882353,1.75494013440052,0.107016797349829,0.856470480227346,0.852626671462556,"107/6019/4312",3
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","3/68","33/1876",0.0909090909090909,2.50802139037433,1.69456285903504,0.114792858631153,0.856470480227346,0.852626671462556,"2568/107/2891",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","4/68","52/1876",0.0769230769230769,2.12217194570136,1.59112588582184,0.116431770892753,0.856470480227346,0.852626671462556,"1101/1297/341640/3909",4
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","4/68","53/1876",0.0754716981132075,2.08213096559378,1.54945976914131,0.122651873806702,0.856470480227346,0.852626671462556,"6422/59352/1952/6425",4
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","2/68","18/1876",0.111111111111111,3.06535947712418,1.70712345292458,0.136560849729749,0.856470480227346,0.852626671462556,"107/2891",2
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","3/68","37/1876",0.0810810810810811,2.2368839427663,1.47331234642504,0.147893680521784,0.856470480227346,0.852626671462556,"658/7044/2264",3
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/68","19/1876",0.105263157894737,2.90402476780186,1.61733252853437,0.149201078409701,0.856470480227346,0.852626671462556,"2099/107",2
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","2/68","19/1876",0.105263157894737,2.90402476780186,1.61733252853437,0.149201078409701,0.856470480227346,0.852626671462556,"4916/4915",2
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","2/68","19/1876",0.105263157894737,2.90402476780186,1.61733252853437,0.149201078409701,0.856470480227346,0.852626671462556,"2568/2891",2
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","2/68","20/1876",0.1,2.75882352941177,1.53321887876711,0.162069334909135,0.856470480227346,0.852626671462556,"8942/8564",2
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","2/68","20/1876",0.1,2.75882352941177,1.53321887876711,0.162069334909135,0.856470480227346,0.852626671462556,"3752/2891",2
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","2/68","20/1876",0.1,2.75882352941177,1.53321887876711,0.162069334909135,0.856470480227346,0.852626671462556,"1960/5366",2
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","3/68","40/1876",0.075,2.06911764705882,1.32518049412821,0.174531471484892,0.856470480227346,0.852626671462556,"107/9229/2891",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","6/68","109/1876",0.055045871559633,1.51861845655693,1.08168005504187,0.199052968523903,0.856470480227346,0.852626671462556,"2568/5100/1828/1830/1952/3861",6
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","2/68","23/1876",0.0869565217391304,2.39897698209719,1.30885837601518,0.201727768016555,0.856470480227346,0.852626671462556,"5241/107",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","4/68","65/1876",0.0615384615384615,1.69773755656109,1.110057390268,0.207093970742283,0.856470480227346,0.852626671462556,"1101/1297/341640/3909",4
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","6/68","111/1876",0.0540540540540541,1.4912559618442,1.034553246341,0.210650023301839,0.856470480227346,0.852626671462556,"1101/1297/3909/2264/9048/4915",6
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","2/68","25/1876",0.08,2.20705882352941,1.17801578351348,0.228763393254951,0.856470480227346,0.852626671462556,"107/4036",2
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","2/68","25/1876",0.08,2.20705882352941,1.17801578351348,0.228763393254951,0.856470480227346,0.852626671462556,"65266/107",2
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","2/68","25/1876",0.08,2.20705882352941,1.17801578351348,0.228763393254951,0.856470480227346,0.852626671462556,"3483/107",2
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","2/68","27/1876",0.0740740740740741,2.04357298474946,1.05899066956694,0.256045975600096,0.856470480227346,0.852626671462556,"107/5158",2
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","2/68","27/1876",0.0740740740740741,2.04357298474946,1.05899066956694,0.256045975600096,0.856470480227346,0.852626671462556,"5241/107",2
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","2/68","28/1876",0.0714285714285714,1.97058823529412,1.00327256032283,0.269726038785383,0.856470480227346,0.852626671462556,"85480/2670",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","4/68","76/1876",0.0526315789473684,1.45201238390093,0.779967948352132,0.295625766417198,0.856470480227346,0.852626671462556,"2568/107/6863/2891",4
"Organismal Systems","Digestive system","hsa04976","Bile secretion","2/68","30/1876",0.0666666666666667,1.83921568627451,0.898409325472073,0.297068442125689,0.856470480227346,0.852626671462556,"107/366",2
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","3/68","53/1876",0.0566037735849057,1.56159822419534,0.804129890446668,0.301076961301709,0.856470480227346,0.852626671462556,"2099/5241/107",3
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","1/68","10/1876",0.1,2.75882352941177,1.08124055444031,0.309342457390969,0.856470480227346,0.852626671462556,"8972",1
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/68","10/1876",0.1,2.75882352941177,1.08124055444031,0.309342457390969,0.856470480227346,0.852626671462556,"5366",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","6/68","128/1876",0.046875,1.29319852941176,0.666272575622363,0.317328509260223,0.856470480227346,0.852626671462556,"2568/6863/6019/4886/1908/2891",6
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","2/68","32/1876",0.0625,1.72426470588235,0.801212529494561,0.324275236785629,0.856470480227346,0.852626671462556,"2568/107",2
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","1/68","11/1876",0.0909090909090909,2.50802139037433,0.972568737997377,0.334511113820452,0.856470480227346,0.852626671462556,"107",1
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","1/68","11/1876",0.0909090909090909,2.50802139037433,0.972568737997377,0.334511113820452,0.856470480227346,0.852626671462556,"4312",1
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","2/68","33/1876",0.0606060606060606,1.67201426024955,0.755142077844218,0.337790228924627,0.856470480227346,0.852626671462556,"2568/107",2
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","4/68","82/1876",0.0487804878048781,1.34576757532281,0.620777332820779,0.346051604466302,0.856470480227346,0.852626671462556,"107/4886/1908/2891",4
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","2/68","34/1876",0.0588235294117647,1.62283737024221,0.710599973983294,0.351228452168371,0.856470480227346,0.852626671462556,"7802/2891",2
