"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","adaptive immune response","121/456","255/3645",0.474509803921569,3.79295665634675,17.4855292875022,2.92401429463258e-47,8.47379342584523e-44,8.1964737543227e-44,"ENSG00000182326/ENSG00000057657/ENSG00000135046/ENSG00000197646/ENSG00000159403/ENSG00000203710/ENSG00000105851/ENSG00000122188/ENSG00000101916/ENSG00000211956/ENSG00000168685/ENSG00000240382/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000137265/ENSG00000081237/ENSG00000121807/ENSG00000211949/ENSG00000065675/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000166501/ENSG00000278196/ENSG00000211668/ENSG00000160654/ENSG00000090659/ENSG00000117090/ENSG00000211970/ENSG00000211598/ENSG00000241755/ENSG00000224373/ENSG00000131019/ENSG00000162739/ENSG00000211941/ENSG00000123338/ENSG00000211648/ENSG00000251546/ENSG00000132465/ENSG00000211666/ENSG00000204252/ENSG00000270550/ENSG00000244575/ENSG00000274576/ENSG00000211662/ENSG00000013725/ENSG00000224650/ENSG00000211644/ENSG00000113263/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000211640/ENSG00000254709/ENSG00000243264/ENSG00000131015/ENSG00000122224/ENSG00000211637/ENSG00000115602/ENSG00000211679/ENSG00000183918/ENSG00000211933/ENSG00000211973/ENSG00000240671/ENSG00000136244/ENSG00000211746/ENSG00000211951/ENSG00000211899/ENSG00000180644/ENSG00000163599/ENSG00000239855/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211625/ENSG00000211650/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000211669/ENSG00000211955/ENSG00000163508/ENSG00000211789/ENSG00000139193/ENSG00000211896/ENSG00000243290/ENSG00000211670/ENSG00000081985/ENSG00000211976/ENSG00000105369/ENSG00000211655/ENSG00000211788/ENSG00000211652/ENSG00000172116/ENSG00000132514/ENSG00000211658/ENSG00000211938/ENSG00000048462/ENSG00000153563/ENSG00000242534/ENSG00000223350/ENSG00000276775/ENSG00000278030/ENSG00000276566/ENSG00000211632/ENSG00000211611/ENSG00000211721/ENSG00000211694/ENSG00000211772/ENSG00000188389/ENSG00000137033/ENSG00000211752/ENSG00000211685/ENSG00000211638/ENSG00000274752/ENSG00000177455/ENSG00000104921/ENSG00000211642",121
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","62/456","136/3645",0.455882352941176,3.64405959752322,11.8821041816811,1.5838768625362e-22,2.29503757381495e-19,2.21992846575469e-19,"ENSG00000182326/ENSG00000135046/ENSG00000159403/ENSG00000203710/ENSG00000101916/ENSG00000211956/ENSG00000168685/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000137265/ENSG00000081237/ENSG00000121807/ENSG00000211949/ENSG00000065675/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000117090/ENSG00000211970/ENSG00000224373/ENSG00000131019/ENSG00000162739/ENSG00000211941/ENSG00000123338/ENSG00000270550/ENSG00000274576/ENSG00000224650/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000131015/ENSG00000122224/ENSG00000115602/ENSG00000211679/ENSG00000211933/ENSG00000211973/ENSG00000136244/ENSG00000211951/ENSG00000180644/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000211955/ENSG00000139193/ENSG00000211896/ENSG00000081985/ENSG00000211976/ENSG00000211938/ENSG00000153563/ENSG00000276775/ENSG00000188389/ENSG00000137033/ENSG00000211685/ENSG00000177455/ENSG00000104921",62
"GO:0002449","lymphocyte mediated immunity","59/456","133/3645",0.443609022556391,3.54595370003957,11.3095002407354,1.02842717772973e-20,9.93460653686923e-18,9.60947920805011e-18,"ENSG00000182326/ENSG00000159403/ENSG00000203710/ENSG00000101916/ENSG00000211956/ENSG00000168685/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000081237/ENSG00000121807/ENSG00000211949/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000117090/ENSG00000211970/ENSG00000224373/ENSG00000131019/ENSG00000162739/ENSG00000211941/ENSG00000123338/ENSG00000270550/ENSG00000274576/ENSG00000153283/ENSG00000224650/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000131015/ENSG00000211679/ENSG00000183918/ENSG00000211933/ENSG00000211973/ENSG00000136244/ENSG00000211951/ENSG00000180644/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000181847/ENSG00000211955/ENSG00000139193/ENSG00000211896/ENSG00000211976/ENSG00000211938/ENSG00000153563/ENSG00000276775/ENSG00000188389/ENSG00000204475/ENSG00000211685/ENSG00000177455/ENSG00000104921",59
"GO:0016064","immunoglobulin mediated immune response","44/456","85/3645",0.517647058823529,4.13777089783282,11.0675129911437,6.9340821047398e-19,5.02374248488399e-16,4.85933174866371e-16,"ENSG00000182326/ENSG00000159403/ENSG00000203710/ENSG00000101916/ENSG00000211956/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000081237/ENSG00000211949/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000211970/ENSG00000224373/ENSG00000211941/ENSG00000270550/ENSG00000274576/ENSG00000224650/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000211679/ENSG00000211933/ENSG00000211973/ENSG00000211951/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000211955/ENSG00000139193/ENSG00000211896/ENSG00000211976/ENSG00000211938/ENSG00000276775/ENSG00000211685/ENSG00000177455/ENSG00000104921",44
"GO:0019724","B cell mediated immunity","44/456","87/3645",0.505747126436782,4.04264972776769,10.8605785048459,2.26112639983859e-18,1.31054886134645e-15,1.26765886374109e-15,"ENSG00000182326/ENSG00000159403/ENSG00000203710/ENSG00000101916/ENSG00000211956/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000081237/ENSG00000211949/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000211970/ENSG00000224373/ENSG00000211941/ENSG00000270550/ENSG00000274576/ENSG00000224650/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000211679/ENSG00000211933/ENSG00000211973/ENSG00000211951/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000211955/ENSG00000139193/ENSG00000211896/ENSG00000211976/ENSG00000211938/ENSG00000276775/ENSG00000211685/ENSG00000177455/ENSG00000104921",44
"GO:0002252","immune effector process","79/456","244/3645",0.323770491803279,2.58803386540121,9.70947399149339,2.07426137120969e-17,1.00186824229428e-14,9.69080356409017e-15,"ENSG00000182326/ENSG00000135046/ENSG00000000971/ENSG00000159403/ENSG00000203710/ENSG00000154188/ENSG00000105851/ENSG00000101916/ENSG00000211956/ENSG00000168685/ENSG00000110777/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000137265/ENSG00000081237/ENSG00000121807/ENSG00000211949/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000163661/ENSG00000232216/ENSG00000117090/ENSG00000211970/ENSG00000224373/ENSG00000131019/ENSG00000162739/ENSG00000211941/ENSG00000123338/ENSG00000119508/ENSG00000270550/ENSG00000274576/ENSG00000153283/ENSG00000224650/ENSG00000140968/ENSG00000211959/ENSG00000127951/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000131015/ENSG00000122224/ENSG00000078596/ENSG00000211679/ENSG00000183918/ENSG00000211933/ENSG00000211973/ENSG00000136244/ENSG00000211951/ENSG00000180644/ENSG00000157404/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000181847/ENSG00000211955/ENSG00000163508/ENSG00000172322/ENSG00000139193/ENSG00000211896/ENSG00000081985/ENSG00000211976/ENSG00000127241/ENSG00000211938/ENSG00000153563/ENSG00000276775/ENSG00000188389/ENSG00000204475/ENSG00000137033/ENSG00000085265/ENSG00000211685/ENSG00000177455/ENSG00000104921/ENSG00000163220",79
"GO:0002443","leukocyte mediated immunity","62/456","168/3645",0.369047619047619,2.9499530075188,9.78409783395229,7.42759691130869e-17,3.0750251212818e-14,2.97438956012256e-14,"ENSG00000182326/ENSG00000159403/ENSG00000203710/ENSG00000105851/ENSG00000101916/ENSG00000211956/ENSG00000168685/ENSG00000211943/ENSG00000211947/ENSG00000211965/ENSG00000081237/ENSG00000121807/ENSG00000211949/ENSG00000211966/ENSG00000280411/ENSG00000211964/ENSG00000232216/ENSG00000117090/ENSG00000211970/ENSG00000224373/ENSG00000131019/ENSG00000162739/ENSG00000211941/ENSG00000123338/ENSG00000119508/ENSG00000270550/ENSG00000274576/ENSG00000153283/ENSG00000224650/ENSG00000211959/ENSG00000211937/ENSG00000211945/ENSG00000254709/ENSG00000131015/ENSG00000211679/ENSG00000183918/ENSG00000211933/ENSG00000211973/ENSG00000136244/ENSG00000211951/ENSG00000180644/ENSG00000157404/ENSG00000211592/ENSG00000211942/ENSG00000225698/ENSG00000211952/ENSG00000211967/ENSG00000211972/ENSG00000211950/ENSG00000181847/ENSG00000211955/ENSG00000139193/ENSG00000211896/ENSG00000211976/ENSG00000211938/ENSG00000153563/ENSG00000276775/ENSG00000188389/ENSG00000204475/ENSG00000211685/ENSG00000177455/ENSG00000104921",62
"GO:0046649","lymphocyte activation","70/456","215/3645",0.325581395348837,2.60250917992656,9.15834589036892,1.34795495877159e-15,4.88296683815008e-13,4.72316323053782e-13,"ENSG00000057657/ENSG00000135046/ENSG00000197646/ENSG00000162692/ENSG00000074047/ENSG00000203710/ENSG00000198846/ENSG00000105851/ENSG00000122188/ENSG00000168685/ENSG00000115232/ENSG00000197635/ENSG00000020633/ENSG00000110777/ENSG00000137265/ENSG00000081237/ENSG00000127152/ENSG00000121807/ENSG00000103522/ENSG00000065675/ENSG00000104332/ENSG00000143297/ENSG00000166501/ENSG00000160654/ENSG00000134460/ENSG00000090659/ENSG00000117090/ENSG00000154928/ENSG00000131019/ENSG00000162739/ENSG00000123338/ENSG00000182866/ENSG00000204252/ENSG00000161405/ENSG00000013725/ENSG00000140968/ENSG00000113263/ENSG00000127951/ENSG00000131015/ENSG00000122224/ENSG00000004468/ENSG00000078596/ENSG00000183918/ENSG00000136244/ENSG00000136014/ENSG00000211899/ENSG00000180644/ENSG00000163599/ENSG00000157404/ENSG00000110448/ENSG00000181847/ENSG00000163508/ENSG00000172322/ENSG00000139193/ENSG00000081985/ENSG00000105369/ENSG00000188763/ENSG00000172116/ENSG00000269404/ENSG00000153563/ENSG00000027869/ENSG00000153064/ENSG00000167656/ENSG00000115353/ENSG00000211772/ENSG00000188389/ENSG00000204475/ENSG00000137077/ENSG00000177455/ENSG00000156738",70
"GO:0045321","leukocyte activation","79/456","281/3645",0.281138790035587,2.24726072298183,8.22861529468907,1.61815645409847e-13,5.21046378219707e-11,5.03994226580611e-11,"ENSG00000057657/ENSG00000135046/ENSG00000197646/ENSG00000162692/ENSG00000074047/ENSG00000203710/ENSG00000198846/ENSG00000105851/ENSG00000122188/ENSG00000168685/ENSG00000115232/ENSG00000197635/ENSG00000020633/ENSG00000110777/ENSG00000137265/ENSG00000081237/ENSG00000127152/ENSG00000121807/ENSG00000103522/ENSG00000065675/ENSG00000101425/ENSG00000104332/ENSG00000143297/ENSG00000166501/ENSG00000160654/ENSG00000134460/ENSG00000090659/ENSG00000165379/ENSG00000117090/ENSG00000154928/ENSG00000131019/ENSG00000162739/ENSG00000123338/ENSG00000182866/ENSG00000204252/ENSG00000161405/ENSG00000119508/ENSG00000013725/ENSG00000140968/ENSG00000113263/ENSG00000127951/ENSG00000131015/ENSG00000122224/ENSG00000115602/ENSG00000004468/ENSG00000078596/ENSG00000183918/ENSG00000136244/ENSG00000136014/ENSG00000211899/ENSG00000180644/ENSG00000163599/ENSG00000157404/ENSG00000110448/ENSG00000181847/ENSG00000145777/ENSG00000163508/ENSG00000172322/ENSG00000139193/ENSG00000171049/ENSG00000081985/ENSG00000105369/ENSG00000188763/ENSG00000172116/ENSG00000269404/ENSG00000153563/ENSG00000027869/ENSG00000153064/ENSG00000167656/ENSG00000115353/ENSG00000211772/ENSG00000188389/ENSG00000204475/ENSG00000137077/ENSG00000137033/ENSG00000187922/ENSG00000177455/ENSG00000156738/ENSG00000104921",79
"GO:0030098","lymphocyte differentiation","43/456","109/3645",0.394495412844037,3.15336793819411,8.63017712349415,4.12389634389687e-13,1.19510516046131e-10,1.15599325934709e-10,"ENSG00000057657/ENSG00000135046/ENSG00000162692/ENSG00000074047/ENSG00000203710/ENSG00000198846/ENSG00000168685/ENSG00000115232/ENSG00000020633/ENSG00000110777/ENSG00000137265/ENSG00000081237/ENSG00000127152/ENSG00000121807/ENSG00000104332/ENSG00000160654/ENSG00000134460/ENSG00000117090/ENSG00000162739/ENSG00000123338/ENSG00000182866/ENSG00000204252/ENSG00000161405/ENSG00000140968/ENSG00000113263/ENSG00000127951/ENSG00000122224/ENSG00000078596/ENSG00000136244/ENSG00000136014/ENSG00000211899/ENSG00000163599/ENSG00000157404/ENSG00000163508/ENSG00000139193/ENSG00000081985/ENSG00000105369/ENSG00000188763/ENSG00000269404/ENSG00000153563/ENSG00000167656/ENSG00000177455/ENSG00000156738",43
