Cluster,Model,Method,k,Basal,Her2,LumA,LumB,Normal,Normal_TCGA
1,Malignant_Subset,Hierarchical,3,128,0,0,1,8,1
2,Malignant_Subset,Hierarchical,3,0,8,112,79,0,0
3,Malignant_Subset,Hierarchical,3,11,58,307,112,10,0
1,Malignant_Subset,Hierarchical,4,128,0,0,1,8,1
2,Malignant_Subset,Hierarchical,4,0,8,112,79,0,0
3,Malignant_Subset,Hierarchical,4,0,2,129,8,5,0
4,Malignant_Subset,Hierarchical,4,11,56,178,104,5,0
1,Malignant_Subset,Hierarchical,5,128,0,0,1,8,1
2,Malignant_Subset,Hierarchical,5,0,8,112,79,0,0
3,Malignant_Subset,Hierarchical,5,0,2,129,8,5,0
4,Malignant_Subset,Hierarchical,5,5,37,7,20,1,0
5,Malignant_Subset,Hierarchical,5,6,19,171,84,4,0
1,Malignant_Subset,Hierarchical,6,49,0,0,0,1,0
2,Malignant_Subset,Hierarchical,6,79,0,0,1,7,1
3,Malignant_Subset,Hierarchical,6,0,8,112,79,0,0
4,Malignant_Subset,Hierarchical,6,0,2,129,8,5,0
5,Malignant_Subset,Hierarchical,6,5,37,7,20,1,0
6,Malignant_Subset,Hierarchical,6,6,19,171,84,4,0
1,Malignant_Subset,Hierarchical,7,49,0,0,0,1,0
2,Malignant_Subset,Hierarchical,7,79,0,0,1,7,1
3,Malignant_Subset,Hierarchical,7,0,8,112,79,0,0
4,Malignant_Subset,Hierarchical,7,0,2,129,8,5,0
5,Malignant_Subset,Hierarchical,7,5,37,7,20,1,0
6,Malignant_Subset,Hierarchical,7,1,18,51,70,0,0
7,Malignant_Subset,Hierarchical,7,5,1,120,14,4,0
1,Malignant_Subset,Hierarchical,8,49,0,0,0,1,0
2,Malignant_Subset,Hierarchical,8,79,0,0,1,7,1
3,Malignant_Subset,Hierarchical,8,0,0,32,34,0,0
4,Malignant_Subset,Hierarchical,8,0,8,80,45,0,0
5,Malignant_Subset,Hierarchical,8,0,2,129,8,5,0
6,Malignant_Subset,Hierarchical,8,5,37,7,20,1,0
7,Malignant_Subset,Hierarchical,8,1,18,51,70,0,0
8,Malignant_Subset,Hierarchical,8,5,1,120,14,4,0
0,Malignant_Subset,KMeans,3,2,16,247,39,13,1
1,Malignant_Subset,KMeans,3,0,22,172,151,2,0
2,Malignant_Subset,KMeans,3,137,28,0,2,3,0
0,Malignant_Subset,GMM,3,0,27,175,159,2,0
1,Malignant_Subset,GMM,3,138,32,0,4,4,0
2,Malignant_Subset,GMM,3,1,7,244,29,12,1
0,Malignant_Subset,KMeans,4,2,5,244,20,12,1
1,Malignant_Subset,KMeans,4,2,61,44,93,1,0
2,Malignant_Subset,KMeans,4,135,0,0,0,3,0
3,Malignant_Subset,KMeans,4,0,0,131,79,2,0
0,Malignant_Subset,GMM,4,0,4,91,63,2,0
1,Malignant_Subset,GMM,4,2,50,119,118,1,0
2,Malignant_Subset,GMM,4,0,3,209,11,12,1
