Cluster,Model,Method,k,Basal,Her2,LumA,LumB,Normal,Normal_TCGA
1,PCA_40_Malignant,Hierarchical,3,134,1,1,1,9,1
2,PCA_40_Malignant,Hierarchical,3,0,1,180,7,5,0
3,PCA_40_Malignant,Hierarchical,3,5,64,238,184,4,0
1,PCA_40_Malignant,Hierarchical,4,134,1,1,1,9,1
2,PCA_40_Malignant,Hierarchical,4,0,1,180,7,5,0
3,PCA_40_Malignant,Hierarchical,4,5,43,7,17,3,0
4,PCA_40_Malignant,Hierarchical,4,0,21,231,167,1,0
1,PCA_40_Malignant,Hierarchical,5,134,1,1,1,9,1
2,PCA_40_Malignant,Hierarchical,5,0,1,180,7,5,0
3,PCA_40_Malignant,Hierarchical,5,5,43,7,17,3,0
4,PCA_40_Malignant,Hierarchical,5,0,0,30,14,0,0
5,PCA_40_Malignant,Hierarchical,5,0,21,201,153,1,0
1,PCA_40_Malignant,Hierarchical,6,68,1,1,0,8,1
2,PCA_40_Malignant,Hierarchical,6,66,0,0,1,1,0
3,PCA_40_Malignant,Hierarchical,6,0,1,180,7,5,0
4,PCA_40_Malignant,Hierarchical,6,5,43,7,17,3,0
5,PCA_40_Malignant,Hierarchical,6,0,0,30,14,0,0
6,PCA_40_Malignant,Hierarchical,6,0,21,201,153,1,0
1,PCA_40_Malignant,Hierarchical,7,68,1,1,0,8,1
2,PCA_40_Malignant,Hierarchical,7,66,0,0,1,1,0
3,PCA_40_Malignant,Hierarchical,7,0,1,180,7,5,0
4,PCA_40_Malignant,Hierarchical,7,5,43,7,17,3,0
5,PCA_40_Malignant,Hierarchical,7,0,0,30,14,0,0
6,PCA_40_Malignant,Hierarchical,7,0,3,35,20,1,0
7,PCA_40_Malignant,Hierarchical,7,0,18,166,133,0,0
1,PCA_40_Malignant,Hierarchical,8,68,1,1,0,8,1
2,PCA_40_Malignant,Hierarchical,8,66,0,0,1,1,0
3,PCA_40_Malignant,Hierarchical,8,0,1,180,7,5,0
4,PCA_40_Malignant,Hierarchical,8,5,43,7,17,3,0
5,PCA_40_Malignant,Hierarchical,8,0,0,30,14,0,0
6,PCA_40_Malignant,Hierarchical,8,0,3,35,20,1,0
7,PCA_40_Malignant,Hierarchical,8,0,17,37,58,0,0
8,PCA_40_Malignant,Hierarchical,8,0,1,129,75,0,0
0,PCA_40_Malignant,KMeans,3,2,16,244,36,13,1
1,PCA_40_Malignant,KMeans,3,0,22,175,154,2,0
2,PCA_40_Malignant,KMeans,3,137,28,0,2,3,0
0,PCA_40_Malignant,GMM,3,0,27,157,155,2,0
1,PCA_40_Malignant,GMM,3,1,14,262,37,8,0
2,PCA_40_Malignant,GMM,3,138,25,0,0,8,1
0,PCA_40_Malignant,KMeans,4,0,0,142,80,2,0
1,PCA_40_Malignant,KMeans,4,135,0,0,0,3,0
2,PCA_40_Malignant,KMeans,4,2,62,43,92,1,0
3,PCA_40_Malignant,KMeans,4,2,4,234,20,12,1
0,PCA_40_Malignant,GMM,4,0,0,124,81,2,0
1,PCA_40_Malignant,GMM,4,136,0,0,0,4,1
2,PCA_40_Malignant,GMM,4,3,66,53,95,3,0
3,PCA_40_Malignant,GMM,4,0,0,242,16,9,0
0,PCA_40_Malignant,KMeans,5,134,0,0,0,3,0
1,PCA_40_Malignant,KMeans,5,0,1,76,62,1,0
2,PCA_40_Malignant,KMeans,5,0,5,158,75,0,0
