sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Final_Label
GTEX-S4Q7-0003-SM-3NM8M,-1.2117801,1.5663218,2.4199755,0.83091414,1.2099245,1.1088362,1.7367771,-3.7747676,0.5316973,1.0291252,Normal_GTEX
GTEX-QV31-1626-SM-2S1QC,-0.6066859,-0.48671144,1.329077,0.93204623,-0.07185812,-2.50484,-1.2505738,0.47119713,-0.33658412,-4.116518,Normal_GTEX
GTEX-13QIC-0011-R1a-SM-5O9CJ,-1.6689053,3.129181,-0.42055142,2.6266642,-0.34400612,-0.08675693,-1.3513474,0.30532366,0.0066314116,-0.2766276,Normal_GTEX
GTEX-ZPCL-0126-SM-4WWC8,-0.119480036,-1.2203742,-0.140183,0.4508658,2.5128944,-0.5114069,2.1135027,0.9277215,0.5298264,-0.42363334,Normal_GTEX
GTEX-S33H-1226-SM-4AD69,1.3019626,-0.11384099,-1.5419487,-0.47264022,0.7637348,-0.13560879,2.9988427,-1.372943,-1.5100896,1.3878202,Normal_GTEX
GTEX-X88G-0426-SM-47JZ5,0.9052295,-1.1429368,0.9391516,-0.76115716,0.6708883,0.7199719,-1.4026347,0.13607346,-0.6528717,-2.424976,Normal_GTEX
TCGA-C8-A1HL-01,0.4383314,-1.4209988,1.1872933,-0.72695076,-2.0480683,0.2904144,0.016978495,0.85996395,1.586502,1.997324,LumB
TCGA-EW-A2FS-01,0.95951414,-1.1554021,0.10400411,0.43106374,-0.2980811,1.6849082,0.6129892,1.4695833,0.6156759,2.6239395,LumA
GTEX-ZAKK-0326-SM-5EGHA,2.6093853,-0.9403754,-2.0446332,1.4791361,-1.1867112,-1.6032404,0.037810504,1.2820826,1.5649083,-0.17106731,Normal_GTEX
GTEX-1399S-1726-SM-5L3DI,-2.619135,-0.50422376,0.43736663,-1.959344,1.8516121,-0.45373678,0.5267063,2.1066337,-0.28177994,-1.0031586,Normal_GTEX
GTEX-ZF29-0926-SM-4WKFZ,1.0274624,2.8510294,0.7362611,-0.86277866,1.4513417,-0.9225726,-0.31510803,-0.5333785,1.5098996,-0.28860092,Normal_GTEX
GTEX-13W3W-2626-SM-5SIA2,1.4299287,0.8179811,-0.8742316,0.4729284,-1.237676,-1.7451319,1.46123,0.5064002,0.8666558,-0.9270725,Normal_GTEX
GTEX-WQUQ-2526-SM-4MVNO,-0.68646383,-0.1940659,-1.0230461,-1.7872183,0.04124117,0.6650123,-2.5943573,-0.7408686,-2.0809207,1.0244418,Normal_GTEX
GTEX-P44H-0526-SM-2XCF1,-1.4234394,1.117084,0.2707006,2.0373776,1.8543198,-0.84847784,-1.9557809,1.1038054,0.1533935,-2.1251464,Normal_GTEX
GTEX-11ONC-2326-SM-5HL6P,-0.2935992,0.34840244,0.31356457,1.6962001,1.9351964,0.21012372,-1.8315996,0.62722135,-0.54148686,-1.1015368,Normal_GTEX
GTEX-TSE9-0126-SM-3DB83,0.34762695,1.9268435,0.9517171,-0.041066624,1.7275366,-1.3234509,-1.1900638,0.36990517,1.9026551,-0.016829591,Normal_GTEX
GTEX-R55F-0226-SM-48FCI,0.06921501,0.9751114,-0.29954982,0.9250467,1.9886897,-0.54483384,-1.4463235,0.978704,-0.45359245,-1.19636,Normal_GTEX
GTEX-13O3P-0226-SM-5KM3Z,1.8230104,0.93794847,0.1571684,-0.4866415,-0.5196755,0.21486223,-1.822701,1.4998587,1.1417081,-2.542027,Normal_GTEX
GTEX-VJYA-0005-SM-3P5ZD,0.37168047,1.4569939,0.17888704,1.00088,-3.0190566,1.90646,2.1594777,-0.7220624,-0.15661547,-0.56940114,Normal_GTEX
GTEX-PWCY-1326-SM-48TCU,-1.1010292,-2.438007,0.22080335,1.175254,2.9724317,0.41937032,0.61901283,-2.6092134,-1.8619863,-0.6075417,Normal_GTEX
GTEX-POMQ-0006-SM-5SI7D,-0.6852219,1.5846901,1.5974543,1.7061592,-2.9195411,1.1381235,3.1281803,-1.6314727,0.6959853,-0.6544653,Normal_GTEX
GTEX-Y9LG-0426-SM-4VBRT,-0.99933165,-0.2062794,-0.3308973,0.2874949,2.632898,-0.25577247,2.1811972,1.1999999,0.52039075,-0.55282307,Normal_GTEX
GTEX-147F4-1226-SM-5NQAY,2.434217,0.89849406,-0.08339047,1.9625446,-1.9527233,-0.35765,1.4035743,-0.018713437,-2.558017,-2.1785126,Normal_GTEX
GTEX-QXCU-0626-SM-2TC69,-1.6226834,-0.114554755,0.26200524,-1.8135277,1.2130952,-0.8311428,-0.2012997,3.7541988,-0.71476805,-1.3681618,Normal_GTEX
GTEX-1269C-2626-SM-5EQ5C,2.865896,0.39683878,-0.60714453,1.8611411,-0.85695314,-2.4476943,1.4961627,0.5435374,0.08140014,-0.672392,Normal_GTEX
GTEX-12WSK-2326-SM-5GCOH,0.63713616,1.5229892,0.65286624,-0.7029968,1.3154677,-1.5297879,-0.5136868,0.2075416,1.9393078,0.42667544,Normal_GTEX
GTEX-P4PQ-0126-SM-2S1NM,1.3523089,2.0041728,0.39516234,-0.15971683,1.286939,-2.109475,-1.3529114,1.1404803,2.123369,-0.27429384,Normal_GTEX
GTEX-ZA64-1526-SM-5CVMD,0.8318858,0.45840842,-1.5926541,-0.87989664,-0.3916856,-0.7061388,-0.67001295,1.7031636,1.2691236,-2.4792624,Normal_GTEX
GTEX-1122O-0426-SM-5H12G,-1.3085899,-1.618839,-0.25805235,0.4053664,0.91578466,-0.5196206,0.08454684,0.3566816,-0.28474456,-3.4571247,Normal_GTEX
TCGA-BH-A0BQ-11,-0.65630877,-0.91741985,-0.1580757,0.24233283,1.4144108,0.18373424,-0.4873942,2.6792033,3.6320653,1.3570244,Normal_TCGA
GTEX-1399Q-0005-SM-5NQAG,0.4588801,0.7197371,2.1009924,-1.3010728,-2.0433397,4.052001,2.3356493,-0.5686497,-0.16089404,0.061611276,Normal_GTEX
GTEX-11EI6-0826-SM-5985V,-0.7974798,-0.09775769,1.3198302,-0.6014213,2.425084,0.6049875,-0.6489689,2.5707502,-1.7474009,-0.9520926,Normal_GTEX
GTEX-11EI6-3126-SM-5H111,-0.55967927,0.20182759,-2.1538389,2.1252594,2.0671773,0.62265176,-1.4667372,1.729925,-1.2395135,1.8374025,Normal_GTEX
GTEX-QV44-1726-SM-4R1KG,-2.084011,-0.8892176,-0.20244461,0.63490194,2.1220827,-1.5535709,-0.5884974,-0.5015527,-0.7916931,2.3576605,Normal_GTEX
GTEX-14E7W-0526-SM-5S2W8,-0.48355535,-1.0868452,1.1160407,0.10274463,1.3004155,-1.5359616,-2.029199,-0.80305463,-0.48335335,-2.772424,Normal_GTEX
GTEX-S341-0326-SM-2XCAU,-2.3986495,-1.0751184,-0.5923838,-1.4869912,3.217228,0.025884278,0.88573277,1.8645223,-1.496829,-0.10187253,Normal_GTEX
GTEX-N7MS-2625-SM-3LK77,-0.4423574,0.47019443,-2.2679443,1.9721475,2.2897277,0.89675343,-0.4909231,0.7546092,-0.6131151,2.2774982,Normal_GTEX
GTEX-OHPJ-0926-SM-2HMJ1,0.018016607,-0.7603395,-0.99409765,2.903698,-1.1890277,-0.5193886,0.2557186,0.5925284,-0.13231497,-1.5923902,Normal_GTEX
GTEX-13O61-0326-SM-5KM2O,-1.5471973,-1.5576909,0.5568647,-1.1277432,0.7255765,-0.31637546,0.0352621,0.68778515,-1.762299,-2.5195248,Normal_GTEX
GTEX-REY6-0126-SM-48FDT,-2.5338464,-0.20119894,-0.18290782,0.017173085,1.5497855,-2.3107586,0.07795412,-0.150143,-0.6477952,2.653662,Normal_GTEX
GTEX-13PL7-2726-SM-5L3GB,2.4964461,0.42049074,0.25562227,-2.313412,2.5847208,-1.838641,-0.81771106,-1.1694211,-0.16693005,0.55987936,Normal_GTEX
GTEX-QV44-0526-SM-2S1RE,1.4671341,-1.1074493,-1.6596577,3.9157763,-0.59148526,-0.53956515,1.3388941,0.40952766,0.049616486,-1.696951,Normal_GTEX
GTEX-WY7C-0426-SM-3NB3C,-2.5564034,-1.0075891,-0.13584927,-1.4711986,1.8789757,0.14523563,0.42995328,2.7207372,-0.66756856,-0.62447685,Normal_GTEX
GTEX-ZPCL-0004-SM-4WWD6,-0.16921607,2.444627,3.1439738,0.18483123,0.36798143,-0.044261444,2.7189217,-3.528622,-0.31564462,1.8090446,Normal_GTEX
GTEX-X5EB-0326-SM-4QASF,-0.76852244,-0.9363126,0.47948703,-0.3171708,0.61784077,1.2810522,-1.3487389,0.94430995,-0.59943247,-1.8286579,Normal_GTEX
GTEX-11DXY-1526-SM-5H129,1.1635505,-1.9099598,-1.2246112,1.4350973,0.3953879,-1.5249736,-1.6281984,-0.28964955,-1.5228585,0.38801008,Normal_GTEX
GTEX-ZPIC-0005-SM-4WWEB,-0.17106038,0.57359153,0.5350229,1.3013383,-3.3296604,2.799434,1.8343787,-0.14920639,-0.040842783,-1.6583877,Normal_GTEX
GTEX-13G51-2126-SM-5IJD9,0.83421725,-1.4558752,-0.48310685,0.24787809,-0.020430677,-1.205942,-2.9489903,-2.127694,-2.1832008,0.19474725,Normal_GTEX
GTEX-Y5V6-2826-SM-4VDSF,-0.06702239,0.26126653,-0.20289533,-0.544743,0.08622037,-0.9615358,-0.81908685,-0.5312092,-1.2191068,-3.8859324,Normal_GTEX
GTEX-Y111-1826-SM-4SOIR,1.4374335,-1.6600913,-1.102413,1.9582895,0.736773,-1.1597304,-1.8331099,-0.60448766,-1.8170512,0.5363945,Normal_GTEX
GTEX-TMZS-0001-SM-3P61Q,0.11921978,2.4200718,2.7923398,0.23821527,0.3091659,1.9806991,1.9592669,-3.703091,0.11778577,1.6229181,Normal_GTEX
TCGA-D8-A1JU-01,0.057498198,-2.4219291,-0.11382118,-0.21281606,-0.37546188,0.34033126,-0.7367623,1.691595,1.6113499,0.5961189,LumA
GTEX-11XUK-1426-SM-5EQMG,-2.781637,0.9145659,-1.4797579,-1.3719168,1.5016026,2.4794145,-1.081503,-0.5147568,0.43004623,0.028622855,Normal_GTEX
GTEX-WOFM-0526-SM-4OOS2,0.4049193,-2.4308026,-1.511138,0.40576777,-0.33144712,-1.2000216,-0.17042172,-0.07671209,-1.2982361,-0.58368164,Normal_GTEX
