sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Final_Label
TCGA-C8-A1HL-01,-0.75408393,1.25444,2.731713,-0.5885361,0.5939719,0.02475053,-1.0620944,-0.69849825,1.3072435,-0.5500566,LumB
TCGA-EW-A2FS-01,2.0918527,3.386182,1.2620342,-2.2926657,0.8653811,-0.028853238,0.5259788,0.979386,-1.7732991,-0.67794997,LumA
TCGA-D8-A1JU-01,0.77599514,-1.7651519,-0.9168873,-0.10661063,-0.98346066,-0.5137368,1.2372851,3.7538779,-0.6168539,-3.8236156,LumA
TCGA-B6-A0RL-01,4.4499,3.891281,5.1877255,-2.4958675,-4.2837586,-1.8180647,-1.3903177,-3.0485642,0.3288625,7.6076474,LumB
TCGA-E9-A3HO-01,1.9827995,3.2567205,1.4306679,-2.1175983,0.23505239,-0.6011882,0.0090473145,-0.9990612,-2.8860168,1.8301661,LumB
TCGA-BH-A0B0-01,-0.1752901,-0.8841348,0.4499223,0.00021555775,0.9729771,-0.7636415,0.58506054,2.7040114,-1.1708739,-1.3749921,LumA
TCGA-D8-A1XJ-01,-1.8623196,-1.1351361,1.3973715,0.64946914,1.3337787,-1.2943223,-0.92386734,0.64784133,2.0173442,3.5397394,Her2
TCGA-E9-A1R4-01,0.24025868,0.15391566,-0.6182004,0.63911563,-0.7860222,-0.70833755,-2.7162216,2.5679102,0.24753961,0.1342179,LumB
TCGA-BH-A0BZ-01,-1.0038059,0.32968476,0.3267795,-0.33043417,1.4203908,0.29549688,-2.3137014,1.4939181,0.70963913,-1.193649,LumB
TCGA-C8-A3M8-01,1.4235432,1.7038702,1.0775708,-0.51020956,-1.1747004,0.040722787,-0.31980148,0.21338306,1.2895253,-1.0747955,LumB
TCGA-E9-A24A-01,-0.037465382,-2.95453,1.2489489,-0.026718494,-1.211567,-2.5536766,-0.5822272,2.7466908,0.06575345,0.3459824,LumA
TCGA-D8-A1JB-01,1.5039718,0.7976578,-1.6429434,0.65778875,-0.19519866,0.1646183,0.48284376,2.3599138,-1.8759375,-0.18455002,LumA
TCGA-E9-A1N4-01,-0.49347207,-1.1973647,-0.082087815,1.038799,-0.29932728,-0.6248909,-1.3549817,2.2843828,-1.5429299,-0.13584732,LumA
TCGA-C8-A12X-01,-2.5378985,1.4949245,7.119693,-1.6160294,-0.31558508,1.1849747,-4.449722,-4.53693,0.038632467,1.2380112,LumA
TCGA-A7-A13D-01,-1.2831085,-0.4305433,-2.0856686,0.85102576,0.1151696,0.028527007,1.769167,-2.2954361,3.4102373,-0.70912904,Basal
TCGA-A8-A07W-01,-0.4763426,-0.42600012,0.33729014,0.27121738,-0.21028729,-0.37433147,-3.0785496,1.1049752,2.0896604,-0.54016894,LumB
TCGA-AN-A0FN-01,-0.84722483,-1.6879061,-0.105677664,0.6875664,0.49814796,-0.14938153,-0.14143652,3.8431244,-1.7446035,-3.5786798,LumA
