sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
GTEX-S4Q7-0003-SM-3NM8M,1.3360066,-0.90516984,0.5152205,-2.6359274,0.46236843,0.6756229,2.149608,0.14496931,1.0174416,-1.221829,-0.50392956,-1.5554515,0.42085195,2.8827834,-3.6193335,-0.3757524,-0.5447693,-1.5989081,-1.1379466,-1.0601528,Normal_GTEX
GTEX-QV31-1626-SM-2S1QC,-1.3975995,-0.74757695,2.032763,0.8450102,-0.5679635,0.50420916,0.25533977,0.76809514,2.7397356,-0.5071471,-3.0910823,-0.25711703,0.5939908,-0.6109733,0.9430735,-0.0034965277,0.2850119,1.9368753,0.1331608,-0.87208736,Normal_GTEX
GTEX-13QIC-0011-R1a-SM-5O9CJ,-0.48140964,2.2636094,-1.3049703,-1.4434085,0.54546076,-0.08194143,1.6817317,-1.2439965,1.2046272,1.4139735,-2.1905882,-2.2715504,0.007123068,0.057554044,0.551805,-0.2973074,1.2985071,-1.2068558,-1.3096349,-0.7755517,Normal_GTEX
GTEX-ZPCL-0126-SM-4WWC8,0.5513651,0.76492244,0.58589387,1.1508639,0.6291733,1.4628721,0.4987366,-0.3281395,-1.6304715,0.88812387,1.9070966,-0.11504628,-1.2137542,-0.11856849,1.0200381,0.21627194,-0.25907445,0.36756194,0.17049232,0.40802503,Normal_GTEX
GTEX-S33H-1226-SM-4AD69,-0.016634224,0.8674149,-0.8976854,-0.77769506,-0.54254854,-1.8198881,-0.77551925,-1.2577714,-0.6856526,-0.2014558,2.9962518,0.74024296,0.6067934,1.5333734,-0.31506366,-0.62176704,0.362818,-0.114555515,0.5492658,0.19581033,Normal_GTEX
GTEX-X88G-0426-SM-47JZ5,-0.22535095,-0.33750728,-0.46280354,-0.36115167,0.5512473,-0.49168536,-1.5604284,2.0940847,0.7894816,-0.7861242,-2.3692787,1.2740724,-1.2762411,0.30453804,0.5661067,-0.5898565,-0.5711361,0.6254843,0.37842512,0.41202414,Normal_GTEX
TCGA-C8-A1HL-01,0.9669547,-2.297617,1.1726999,0.6313312,1.7715167,-1.5635674,0.4383457,1.1809607,1.2909973,-0.059350654,0.9883921,-2.7196348,1.1732001,-1.5138649,0.35671794,-0.7241219,0.55496657,-2.3444772,0.6242582,2.9321737,LumB
TCGA-EW-A2FS-01,-1.3801531,-1.4106073,0.61054647,0.042922854,1.867938,-2.01713,0.6215264,0.41612384,-0.99910647,-1.0534327,0.22685215,-1.5464003,-0.28179246,-0.7841632,-0.7234028,-1.8040866,-0.084689215,-2.2102482,0.32291767,1.3594086,LumA
GTEX-ZAKK-0326-SM-5EGHA,0.8925414,0.54518354,-3.409252,0.7374419,0.9052622,0.5402233,-0.2224317,0.32001722,-0.089975536,-1.2014997,-0.48465294,-0.39244527,-0.38237336,-0.82594264,0.56583786,2.4065266,-0.96961606,1.2402399,-1.64961,-0.3961501,Normal_GTEX
GTEX-1399S-1726-SM-5L3DI,0.45344293,0.46981823,1.4086614,0.14567068,1.2392999,1.8328565,-0.6964689,1.18116,0.27356434,-0.02804504,1.8367511,-1.128003,-1.4245696,0.16826552,-0.980228,1.5002948,1.723692,0.01950141,0.6095452,-0.9902791,Normal_GTEX
