sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Final_Label
TCGA-C8-A1HL-01,0.9839997,1.6532832,-0.42037922,-0.883468,0.3517036,1.5425944,-0.23244953,-0.1291615,-1.2513769,-0.45977297,-0.8071452,1.629634,-0.30873713,-0.8432351,-0.879133,0.07627863,1.7280259,-1.4122642,1.0989149,1.645195,LumB
TCGA-EW-A2FS-01,-0.5299612,1.0550039,-2.5162334,2.8557727,1.274248,-1.2899367,0.031979207,0.13174923,0.632087,-0.89994156,-2.083883,1.8544183,-0.018503014,0.39414385,1.7378284,1.6649536,-0.0039229468,0.08995811,-1.2644814,2.1448994,LumA
TCGA-D8-A1JU-01,-2.565528,0.15851963,-0.79693305,2.8082626,0.563068,-0.065735586,2.2722423,-0.923885,1.3944637,-1.2358868,-2.973008,1.7465514,2.6348455,-0.8812795,-2.1881804,-0.26533434,0.005141139,-0.07740181,2.0412595,-3.3296995,LumA
TCGA-B6-A0RL-01,3.70311,-2.1602502,3.5176404,-0.65259296,1.6520636,-3.9134123,-0.38972494,-0.6040151,0.9277398,1.4941962,0.4859731,-4.7190676,-7.489439,-1.0709556,2.2687538,-0.7898212,-4.1124883,-3.693011,-0.8867154,7.1641088,LumB
TCGA-E9-A3HO-01,0.698608,0.084859245,-0.5312724,1.9201894,1.2298446,-0.83023363,1.605068,0.8003554,0.6095401,-1.0430344,-0.99668014,0.057124954,-0.12903024,0.61461896,1.2422141,0.9489716,-0.6468909,-0.89389044,-1.2752701,3.4816658,LumB
TCGA-BH-A0B0-01,-1.4660213,0.55208266,-0.72889507,0.5663698,0.19874233,1.0232787,1.0754598,0.19662426,0.7053574,-1.3268293,-1.5325893,0.9163964,0.6652543,-0.55334747,-1.4552313,0.26914418,1.4860008,0.8268783,0.36377445,-0.9385004,LumA
TCGA-D8-A1XJ-01,2.0607517,0.23482527,2.5938203,-2.8020117,-0.7863164,1.0461739,-1.0673281,-0.7819937,-1.4947405,-0.18194003,0.39792463,-2.0914438,-2.3875837,-0.4084426,-0.6602126,-0.1438702,0.9855941,1.2235826,-0.3491936,-0.53182596,Her2
TCGA-E9-A1R4-01,0.6387882,-0.57468015,-1.963758,-0.4852888,1.5267524,-0.92047966,-0.1123465,-0.312133,-1.0446318,0.15136003,0.35842788,-0.08899964,0.37684223,1.2198616,0.28732294,-2.3221893,-0.8953629,2.432716,-0.8573675,-1.0474138,LumB
TCGA-BH-A0BZ-01,0.73264855,0.05986695,-2.4845784,-2.5705504,-0.21033026,-0.0024036802,-0.98804617,0.8267936,-0.7528583,0.40464053,-1.6032434,2.108353,-0.23616268,-0.23714203,-0.7693248,-0.4509739,0.7757378,0.10085935,0.6567241,-0.35222936,LumB
TCGA-C8-A3M8-01,0.7051948,1.3336964,-1.340014,1.220276,1.2589515,-1.0689294,-1.5751894,-1.125703,-0.993678,0.37289962,0.026156344,0.767891,-0.57695097,0.3591386,1.3387864,-0.10254798,-0.10809027,-0.5243463,0.009412426,1.109936,LumB
