sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Final_Label
GTEX-S4Q7-0003-SM-3NM8M,1.6170863,-1.4297763,-0.05927495,-0.20247126,0.052319266,1.7208304,0.19364485,0.59893626,-0.07754217,-1.2681876,-0.18637331,0.08556436,-0.3334399,0.09901734,-2.0220127,1.0756198,-0.22617424,0.08319922,-1.7531419,-1.8903176,-0.54160947,0.01576364,-0.04980294,0.0025548413,-1.7491832,0.06519871,-0.64766896,0.13940896,0.5197524,-0.008251809,-1.4051925,0.26106745,4.846938,-0.44347063,2.7469466,-0.8375641,0.07438118,-0.36688787,-1.2845749,0.028879412,Normal_GTEX
GTEX-QV31-1626-SM-2S1QC,-2.7588768,-0.5076286,0.034239262,-0.08802028,1.7471694,1.2142192,-0.03230735,-1.0637764,0.11827099,2.2088425,0.19254762,0.10862291,0.45610866,0.030106738,1.1704842,-0.9053198,-0.026769113,-1.941101,-1.402735,-0.16454226,1.4013003,-0.04367496,-0.21333463,0.1541308,0.54352224,0.17395529,-0.7987812,0.00957064,0.3836257,-0.12611935,1.1014849,-0.22276583,1.5062405,-0.2419124,-0.38772807,0.31428653,0.1283706,-0.14847445,0.6175614,0.24085642,Normal_GTEX
GTEX-13QIC-0011-R1a-SM-5O9CJ,-1.1234553,0.8262195,-0.052083805,-0.04759942,-0.5495407,0.8188387,0.022903629,0.17764814,-0.05287218,0.015130542,2.2568474,0.033027593,0.07579929,-0.09769273,-0.19943804,-0.077463016,-0.11603983,0.93798107,0.32720017,-0.13278416,-0.93029726,-0.19066979,-0.20640352,0.07309564,0.24547437,-0.39854333,-3.2647762,0.05200649,0.7100958,-0.014558982,-1.3671527,-0.8664831,-0.07963653,1.670477,0.5358381,-2.0553489,0.065636985,-0.26123148,-1.9246082,0.07231327,Normal_GTEX
GTEX-ZPCL-0126-SM-4WWC8,0.072293185,0.41700634,-0.022974288,-0.048838794,1.0100347,-0.48459065,-0.06206055,0.24888389,0.024539798,0.9136674,0.5024247,-0.049425233,-0.7302702,-0.055460773,-0.6243076,-0.40517956,-0.15170154,1.7015194,0.2045024,0.7256575,0.11890726,-0.06036049,-0.16438779,0.0053678006,0.11618501,0.51747996,0.78738767,-0.08781231,1.1341414,0.060850263,-0.9688648,-1.4788828,1.1584783,-1.4024982,-0.3948308,1.2407757,0.10434108,-0.21730709,1.0244554,0.031788543,Normal_GTEX
GTEX-S33H-1226-SM-4AD69,2.3501315,-0.36112782,0.04942211,0.041095868,-1.1233916,-0.055713728,-0.116132125,-0.6242599,-0.09108175,0.07211596,1.2857056,-0.09403707,-0.7005042,-0.11710207,-1.0441662,2.3062057,-0.16695365,2.4844837,0.53039527,-0.4433151,0.9477777,-0.12543847,0.0063300803,0.11858799,0.123542935,-0.18771607,0.32039768,0.0043988386,-1.9933616,-0.045134,0.32416317,0.4466916,-0.66570103,0.25690666,-0.44891492,0.56224334,0.037592962,-0.16038978,-0.00556729,-0.0027519614,Normal_GTEX
GTEX-X88G-0426-SM-47JZ5,-0.79518044,-0.98878974,0.013331995,-0.086100854,1.5949779,-1.6774498,-0.022860602,-1.7188257,-0.041714355,-0.7904642,0.5404234,0.106087685,-0.55888444,0.028028652,1.3815272,-1.2369094,-0.040847234,-1.1977044,-1.261353,-1.8118154,-0.49697685,-0.02812177,-0.1814526,0.02109584,0.53248996,0.18388134,0.39569533,0.02290119,0.11467957,-0.10120045,1.7371626,0.21528116,0.5162882,-0.15356031,-0.8561648,0.44416988,-0.004216805,-0.05489248,0.55658764,0.15381354,Normal_GTEX
TCGA-C8-A1HL-01,-0.7081589,3.055645,-0.030379118,0.019459499,-1.6973779,0.9145205,-0.05419208,-0.9754416,0.084731884,-0.85089076,2.685404,-0.047218468,2.3141165,-0.15959306,-0.3158033,-1.1809258,-0.03748043,0.07610746,-1.8618002,-1.2897155,0.23949856,-0.2173075,-0.32840854,0.23488213,-0.15114683,3.0190728,2.032698,-0.038424507,0.02170042,-0.12045354,-0.7626604,-0.007958546,-0.21734501,-1.3037112,-1.1426288,0.2297116,0.054991405,-0.3008138,-1.2903156,-0.10550338,LumB
TCGA-EW-A2FS-01,-1.9958822,1.8864504,-0.020693025,-0.13629621,-1.3922698,-0.35789067,-0.0469483,-0.46418846,-0.13041942,-0.94215417,1.8403261,0.08046051,0.43473667,-0.11637862,-1.0697387,-0.9954477,-0.08541086,1.3699745,-0.21490577,-0.034182303,-1.8053019,-0.30710277,-0.3042465,0.105143435,-0.53147286,0.20630983,0.90253866,-0.06478259,0.28097597,-0.12989795,-1.6351388,0.30907,1.0229772,1.4128302,-1.2872981,-0.15205912,0.07986654,-0.30813032,-1.6368185,-0.075609,LumA
GTEX-ZAKK-0326-SM-5EGHA,0.3450061,-1.7793868,-0.02267593,-0.21410003,0.7912274,0.5680636,-0.116459936,-0.03908109,-0.015736476,-0.10116486,1.3632026,-0.08871843,-0.014554389,-0.094746806,-0.75622326,-0.7830291,-0.17028984,-1.0895858,1.8512244,0.2505423,-2.208668,-0.04086134,-0.118219614,-0.05022516,-1.3336369,-0.098594606,-0.08954252,0.009964908,0.10917706,-0.04592407,1.2446477,-1.010432,-0.83683854,-2.2137568,-0.3124409,1.8901367,0.16292185,-0.15485823,0.68850166,0.061005175,Normal_GTEX
GTEX-1399S-1726-SM-5L3DI,0.0025942102,-1.1191964,-0.052232124,-0.25762737,0.5999002,-0.99726963,-0.021511942,0.6491728,0.026037991,-0.14495379,0.24053183,-0.024421189,-0.34428504,-0.13721298,-1.6452004,-0.3039084,-0.04550384,0.55364275,0.16847077,1.0805061,1.3697747,-0.22199672,-0.16473506,0.08435212,-0.10175602,-0.76573664,1.4439603,-0.04911471,1.0697694,0.1460693,-0.5916896,-0.5558257,3.3120165,-0.9587333,1.1701903,-0.8562553,0.17513677,-0.23969093,0.07423582,0.056442194,Normal_GTEX
