sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Final_Label
TCGA-C8-A1HL-01,-0.3468427,-0.027033046,0.18813142,1.1335988,1.0742419,1.1766124,-0.83109057,0.88232833,-0.61258805,0.0051142685,-0.47047284,0.3666904,-0.26603383,1.3159881,-1.9150318,-0.47086167,-0.6026207,1.0781975,-0.8273149,-1.8671784,0.6500119,-0.13699758,-1.1742663,-2.1952236,-0.85272545,-0.43118316,0.44689137,-0.8931073,-0.47553015,-0.07755076,0.06605274,1.5528973,0.6416751,-0.35880297,0.19893137,-2.3043828,0.82067895,-0.13406451,0.59502393,2.666507,LumB
TCGA-EW-A2FS-01,-0.7466956,0.5318972,0.08161092,1.2301445,-1.6474876,1.1927496,0.027782016,-0.39655876,-0.9341953,-1.0199916,0.20582163,0.19908315,-1.3995242,-0.37613797,-2.095766,-1.6296732,-0.8762187,0.63112956,1.4994389,0.46865615,0.09118963,-1.1173085,-1.5439117,-0.7470318,-0.86196065,-1.2182397,0.7357158,1.1084334,-0.19269353,0.9263322,-0.85073817,1.6800385,0.81614053,0.46928996,2.0422313,-1.9599098,0.12502785,0.09397629,-0.21580969,-2.7150857,LumA
TCGA-D8-A1JU-01,0.22809398,0.75617814,0.7283867,-0.27675897,-0.756705,0.47431195,-1.1136492,-1.8784722,0.31991124,-1.6630028,0.02453248,-0.5660427,-1.013936,-0.23769169,-0.50813085,1.8739398,-2.3270917,-0.873574,0.342096,2.6714008,-1.975475,0.021899141,-0.50567585,-0.8835946,0.94259125,-0.7696404,0.15307298,-0.054563127,2.607159,0.88394094,-0.20868845,0.18609986,0.41473976,-0.052583218,3.5044985,0.95407057,-0.42186382,-0.48857388,-0.14512305,-0.39693302,LumA
TCGA-B6-A0RL-01,-1.7295724,-1.1952555,0.7636667,-1.4504857,-0.08323027,-3.8079329,2.0155213,4.3064375,-0.36233962,0.5164335,0.27994978,4.24948,0.10062218,-1.7261373,0.5767297,1.113174,-0.92615765,-3.7154014,0.17828235,-4.89417,-0.17497087,1.2716131,-0.74176776,2.2804217,0.6633014,-2.7309558,2.5126016,4.510296,-6.9111443,-0.050545357,0.21440613,1.5904664,2.2955098,-1.925452,-5.3783145,-2.873187,1.9691693,-0.56829894,-1.6875026,-1.8294269,LumB
TCGA-E9-A3HO-01,-0.70012784,1.1561542,0.04977997,1.0116572,-1.3784099,-0.119994715,0.27388573,0.96598047,-0.30334783,-1.9787321,0.81912535,0.60512185,-1.4936111,-1.3572575,-2.050984,-0.85493094,-0.9210021,0.21323332,1.3065329,-0.9192185,0.11048583,-0.84065574,-1.3280838,-0.23750594,-0.9788337,-1.3275052,0.55475086,1.1330427,-1.9259099,1.0981045,-0.40793827,1.2633146,1.2660162,-0.42694378,0.09735674,-0.6437861,0.342173,0.38257274,-0.7922141,-2.0565376,LumB
TCGA-BH-A0B0-01,-0.20217794,0.77054167,0.23039556,0.013928071,-0.5828119,0.45014554,-0.593449,-0.9585283,0.08603867,-0.6388859,0.22693133,-1.3387661,-0.9038175,-0.5862161,-0.47960904,0.7701793,-1.0390072,0.6945674,0.49209377,1.1696393,-1.729149,-0.6484556,-0.08713281,-0.74281096,-0.24080135,-0.48234344,0.21859506,-0.19039698,2.152445,0.8080275,-0.17066158,0.4066287,0.17282507,-0.46069604,1.7958747,0.09027394,0.06986989,-0.089382544,-0.17252058,-0.06863324,LumA
TCGA-D8-A1XJ-01,-1.2083049,-0.0698656,-0.7945506,-1.6542177,0.21117982,-1.5603094,1.3619971,2.2707965,0.49809313,0.5353383,0.62746716,-2.0779433,0.23815784,-0.88469285,1.8268958,0.9583512,1.3395308,1.6391196,-1.0515199,-0.6113906,-2.2811959,-0.034057397,0.9968452,0.14000401,-0.4684512,0.92061996,0.040436435,-0.69367874,0.23396027,-0.35303497,0.848991,0.34060305,-0.056035966,-1.802736,-2.131659,-0.0758662,0.66046786,0.3658522,0.1871162,1.401879,Her2
TCGA-E9-A1R4-01,-1.1943411,1.3338706,0.25891587,-0.5361906,-0.30982682,-1.1818149,2.7478127,0.01715314,0.13855185,0.31422552,1.0649467,-1.0618293,0.020140395,0.30846813,1.0759753,-1.0675869,-2.1822228,0.49576646,-0.4287337,-0.14385527,-1.1100472,-0.17833962,-0.50345427,-0.3687354,0.39045477,-0.4476105,0.75295216,0.24623977,0.9362212,0.08227897,0.6167232,0.6693301,-0.021681488,0.79013425,0.7641367,1.2093061,1.2614402,0.59882927,0.01518659,0.18299833,LumB
TCGA-BH-A0BZ-01,-0.7622523,-0.03612034,0.6768949,0.33648193,1.4357643,0.75384176,0.36285388,-1.3335322,-0.2449223,0.92194265,0.21670581,-0.78510207,0.3396291,1.6442752,-0.26531112,-0.9231934,0.6172911,1.9418184,-0.3019723,-0.87709713,-0.09647441,0.26014754,-0.9727315,-0.858674,-0.98120975,-1.040737,-0.043453325,0.11512044,1.9687469,-1.0065187,-0.4282034,1.2979021,0.0381853,0.32956225,-0.21422544,-0.58699334,0.6874576,0.47222462,-0.4922963,2.1610043,LumB
TCGA-C8-A3M8-01,0.1049589,0.5753009,-0.026955988,0.45845157,0.66684794,0.6575552,0.6141483,-0.29068607,-0.3214597,-0.53564095,0.07742286,0.7647614,-1.3164978,0.44842535,-0.6634617,-0.26577967,-0.9927715,-0.6098223,-0.8325401,-0.59818316,-0.14278395,-0.83697945,-0.88720834,-1.9692618,0.07343122,-0.3799731,0.8848957,0.36307052,-1.3431935,0.7097193,-0.07385929,0.8846149,1.1016569,0.45410663,1.0473584,-2.6111357,0.36660114,0.015119754,0.69100946,0.3332618,LumB
TCGA-E9-A24A-01,-0.11193456,0.030978315,0.40372753,-0.54843515,-0.18572831,-0.8735732,-0.24916664,1.4249352,0.17109337,-0.48943126,-0.13693486,0.6739685,1.0709469,0.30901933,0.105919875,0.330198,-2.8846805,-0.73055714,-0.32775858,0.6307845,-0.9071245,-0.012373157,0.06819294,0.18105264,0.9951888,-0.03668423,-0.27820677,-0.47871473,2.416619,-0.5998706,0.07663161,-0.07196704,-0.5535017,-1.137269,-0.22375211,0.7256852,-0.1815886,-0.36735395,-0.7583651,1.8864291,LumA
TCGA-D8-A1JB-01,0.13126719,1.2050328,-0.31729305,-0.0834733,-0.9536835,-0.14331578,0.24903888,-0.5183843,-0.07231021,-1.1254475,-0.24880521,-0.7456163,1.1102254,0.49904054,-0.7446405,-2.4323404,-1.9074072,0.32016474,1.1361755,2.209736,-0.12989315,0.18857294,-0.20303738,-0.0044361427,-0.19224226,0.24893007,-0.2972099,-0.7968644,0.32676765,0.48302108,1.0104024,0.50561845,-0.7133702,1.4601142,2.7326984,1.353889,0.13883165,0.34039477,0.8645014,-1.3220782,LumA
TCGA-E9-A1N4-01,0.76939434,0.5239849,-0.020557698,-0.5628675,-0.661486,0.33369833,-0.75904787,-0.28639042,0.4028747,-0.27391097,-0.768792,0.19678262,1.0235417,0.53490615,-1.6590682,-0.5177884,-1.6592592,0.057151917,-0.16214672,0.23249467,-0.45487463,0.17841454,-0.11211134,-0.036048286,-0.41917676,-0.11977516,-0.44136637,-1.0399928,1.7329026,0.09443477,0.21969044,-0.1348904,-0.46848056,0.118520916,0.74026537,2.1699276,-0.07016896,-0.5813533,-0.5221163,1.3102779,LumA
